Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0307-01-29,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,19.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4585381,-111.9477295
2012-0307-01-3,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4575418,-111.9429049
2012-0307-01-30,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,14.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583305,-111.9477269
2012-0307-01-31,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,16.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583433,-111.9475182
2012-0307-01-32,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,1.75,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4581659,-111.9474666
2012-0307-01-33,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,19.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4582307,-111.947606
2012-0307-01-34,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,18.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4585616,-111.9436358
2012-0307-01-35,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,14.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4584726,-111.9439832
2012-0307-01-36,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,16.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4583079,-111.9440208
2012-0307-01-37,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,18.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4581863,-111.9438525
2012-0307-01-38,2/26/2020 13:41,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:41,18.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4582128,-111.9438192
2012-0307-01-39,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,15.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4580529,-111.9438283
2012-0307-01-4,2/26/2020 13:35,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:35,18.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4578015,-111.9427683
2012-0307-01-40,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,19.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4580141,-111.9437999
2012-0307-01-41,2/26/2020 13:42,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:42,22.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4579873,-111.9438703
